probability,intersections_rand,intersections_alg,distancetraveled_rand,distancetraveled_alg
16.7,1.009,1.0,551.4132,703.0
16.8,1.0068,1.0,549.8332,703.0
16.900000000000002,1.0079,1.0,552.8384,703.0
17.0,1.0081,1.0,551.7532,703.0
17.1,1.008,1.0,550.031,703.0
17.2,1.0057,1.0,551.392,703.0
17.299999999999997,1.0072,1.0,549.849,703.0
17.4,1.0065,1.0,549.6557,703.0
17.5,1.0037,1.0,547.9863,703.0
17.599999999999998,1.0052,1.0,548.7257,703.0
17.7,1.0061,1.0,548.0335,703.0
17.8,1.006,1.0,550.6892,703.0
17.9,1.0049,1.0,546.6716,703.0
18.0,1.0041,1.0,552.8499,703.0
18.099999999999998,1.0053,1.0,549.6208,703.0
18.2,1.0049,1.0,549.4853,703.0
18.3,1.0055,1.0,551.5163,703.0
18.4,1.0057,1.0,550.9704,703.0
18.5,1.004,1.0,549.4448,703.0
18.6,1.0056,1.0,550.2066,703.0
18.7,1.0055,1.0,550.1932,703.0
18.8,1.0056,1.0,550.8318,703.0
18.9,1.004,1.0,546.6042,703.0
19.0,1.0045,1.0,548.9043,703.0
19.1,1.003,1.0,547.2536,703.0
19.2,1.003,1.0,549.7106,703.0
19.3,1.0026,1.0,547.7539,703.0
19.400000000000002,1.0027,1.0,547.7039,703.0
19.5,1.0016,1.0,548.3873,703.0
19.6,1.0029,1.0,548.2092,703.0
19.7,1.0027,1.0,546.9093,703.0
19.8,1.0027,1.0,548.9944,703.0
19.900000000000002,1.0024,1.0,550.4721,703.0
20.0,1.0028,1.0,546.866,703.0
20.1,1.0012,1.0,545.0722,703.0
20.200000000000003,1.0028,1.0,548.1764,703.0
20.3,1.0032,1.0,551.5131,703.0
20.4,1.0029,1.0,547.937,703.0
20.5,1.0028,1.0,545.4912,703.0
20.599999999999998,1.0025,1.0,548.5566,703.0
20.7,1.0035,1.0,549.8378,703.0
20.8,1.0029,1.0,546.5144,703.0
20.9,1.0039,1.0,549.661,703.0
21.0,1.0028,1.0,547.7177,703.0
21.099999999999998,1.0028,1.0,546.3403,703.0
21.2,1.002,1.0,544.6163,703.0
21.3,1.0025,1.0,548.9548,703.0
21.4,1.0017,1.0,546.6218,703.0
21.5,1.0,1.0,545.3047,703.0
21.6,1.0,1.0,545.4777,703.0
21.7,1.0,1.0,544.404,703.0
21.8,1.0,1.0,544.161,703.0
21.9,1.0,1.0,546.4015,703.0
22.0,1.0,1.0,548.7739,703.0
22.1,1.0,1.0,544.7884,703.0
22.2,1.0,1.0,545.1081,703.0
22.3,1.0,1.0,546.047,703.0
