probability,intersections_rand,intersections_alg,distancetraveled_rand,distancetraveled_alg
13.700000000000001,1.3376,1.1579,215.187,229.181
13.8,1.3342,1.1498,214.238,227.684
13.900000000000002,1.3346,1.1411,214.776,226.163
14.000000000000002,1.3301,1.1388,213.928,225.644
14.099999999999998,1.3279,1.1418,214.124,226.313
14.2,1.3222,1.1389,212.404,225.608
14.299999999999999,1.3111,1.1399,211.188,225.893
14.399999999999999,1.3054,1.1272,209.794,223.481
14.499999999999998,1.2979,1.1278,208.43,223.55
14.6,1.3096,1.1195,210.617,221.999
14.7,1.304,1.1303,209.438,224.056
14.799999999999999,1.2979,1.1269,208.677,223.373
14.899999999999999,1.284,1.1125,206.317,220.754
15.0,1.2889,1.1122,206.509,220.691
15.1,1.293,1.1142,207.108,221.045
15.2,1.282,1.1234,206.246,222.746
15.299999999999999,1.2813,1.1143,205.494,221.048
15.4,1.2804,1.1175,205.288,221.663
15.5,1.2653,1.1003,203.436,218.477
15.6,1.2801,1.1053,205.614,219.356
15.7,1.2645,1.1004,202.738,218.465
15.8,1.2584,1.0982,201.412,218.09
15.9,1.2572,1.1053,201.382,219.368
16.0,1.2556,1.0998,201.212,218.321
16.1,1.2621,1.0954,202.077,217.466
16.2,1.2435,1.0863,199.27,215.867
16.3,1.2434,1.0875,199.021,216.062
16.400000000000002,1.2531,1.0899,200.701,216.5
16.5,1.2402,1.0896,198.109,216.392
16.6,1.2424,1.0891,198.546,216.308
16.7,1.2357,1.0856,197.257,215.699
16.8,1.2414,1.0831,198.589,215.219
16.900000000000002,1.231,1.0764,196.396,214.034
17.0,1.2286,1.0752,196.582,213.809
17.1,1.2214,1.0759,195.336,213.845
17.2,1.2235,1.0748,195.799,213.638
17.299999999999997,1.2308,1.0737,196.011,213.491
17.4,1.2115,1.0762,194.107,213.893
17.5,1.2132,1.0757,194.285,213.857
17.599999999999998,1.2068,1.0723,193.369,213.221
17.7,1.2162,1.0743,194.77,213.584
17.8,1.2108,1.0657,193.228,212.042
17.9,1.2038,1.0656,192.252,211.976
18.0,1.1958,1.0669,191.056,212.198
18.099999999999998,1.192,1.0597,190.535,210.869
18.2,1.1992,1.0628,191.602,211.457
18.3,1.2029,1.0657,191.659,211.994
18.4,1.2075,1.0629,192.799,211.49
18.5,1.1976,1.0643,190.779,211.772
18.6,1.2006,1.0657,191.247,212.03
18.7,1.1869,1.0621,189.519,211.322
18.8,1.1792,1.0539,188.236,209.819
18.9,1.1836,1.0485,188.558,208.844
19.0,1.1745,1.0504,187.364,209.18
19.1,1.1735,1.0524,187.603,209.549
19.2,1.1688,1.0567,186.756,210.341
19.3,1.1725,1.0522,187.074,209.552
19.400000000000002,1.1807,1.0552,188.005,210.062
19.5,1.1723,1.0511,186.749,209.294
19.6,1.1794,1.0538,188.417,209.771
19.7,1.1737,1.0494,186.944,208.994
19.8,1.1733,1.0531,186.313,209.684
19.900000000000002,1.1601,1.0468,185.11,208.541
20.0,1.1594,1.043,184.763,207.839
20.1,1.163,1.0409,185.031,207.443
20.200000000000003,1.1604,1.0447,184.978,208.139
20.3,1.1577,1.0441,184.203,208.058
20.4,1.1553,1.042,184.466,207.632
20.5,1.1501,1.0435,183.605,207.926
20.599999999999998,1.1416,1.043,181.646,207.806
20.7,1.1562,1.0421,183.72,207.641
20.8,1.1479,1.0424,182.717,207.707
20.9,1.1474,1.0389,182.404,207.068
21.0,1.1506,1.0434,183.241,207.872
21.099999999999998,1.1501,1.0409,183.127,207.443
21.2,1.1418,1.0432,181.097,207.845
21.3,1.1503,1.034,183.324,206.18
21.4,1.143,1.0332,181.524,206.036
21.5,1.1346,1.0298,180.027,205.412
21.6,1.1303,1.0309,179.437,205.604
21.7,1.1332,1.0311,180.16,205.643
21.8,1.1335,1.0331,180.414,206.009
21.9,1.1262,1.0302,179.077,205.454
22.0,1.134,1.0324,179.301,205.871
22.1,1.1302,1.03,179.434,205.46
22.2,1.1349,1.0317,180.462,205.736
22.3,1.1253,1.0304,178.704,205.52
22.400000000000002,1.124,1.0315,178.325,205.712
22.5,1.1257,1.0301,178.965,205.466
22.6,1.1219,1.0282,178.169,205.112
22.7,1.127,1.0316,179.138,205.736
22.8,1.119,1.0316,178.438,205.733
22.900000000000002,1.1223,1.0281,178.139,205.097
23.0,1.1241,1.0306,178.303,205.529
23.1,1.1177,1.0329,177.61,205.943
23.200000000000003,1.1137,1.0235,176.941,204.26
23.3,1.1164,1.0211,177.668,203.819
23.400000000000002,1.1082,1.0215,175.758,203.909
23.5,1.1038,1.0176,174.738,203.183
23.599999999999998,1.1099,1.0184,176.415,203.333
23.7,1.1079,1.0204,175.803,203.702
23.799999999999997,1.1119,1.0196,176.653,203.552
23.9,1.1005,1.0198,175.393,203.6
24.0,1.1094,1.0213,176.14,203.861
24.099999999999998,1.1059,1.02,175.379,203.621
24.2,1.1012,1.0196,174.759,203.555
24.3,1.1023,1.0191,175.475,203.462
24.4,1.1036,1.0217,175.272,203.93
24.5,1.0999,1.021,175.062,203.798
24.6,1.1002,1.0182,174.78,203.291
24.7,1.1005,1.024,174.076,204.347
24.8,1.1011,1.016,175.477,202.895
24.9,1.0945,1.0201,173.573,203.636
25.0,1.091,1.0202,173.051,203.657
25.1,1.0905,1.02,173.381,203.615
25.2,1.1007,1.0192,174.267,203.465
25.3,1.0919,1.0225,172.994,204.08
25.4,1.0904,1.0177,172.765,203.198
25.5,1.0932,1.0239,173.136,204.335
25.6,1.0906,1.0191,173.194,203.456
25.7,1.0912,1.0226,173.118,204.083
25.8,1.0896,1.0209,172.702,203.777
25.900000000000002,1.0944,1.0211,173.719,203.81
26.0,1.0806,1.01,171.42,201.809
26.1,1.0854,1.0099,171.833,201.788
26.200000000000003,1.0833,1.0101,171.502,201.821
26.3,1.0838,1.0089,171.335,201.605
26.400000000000002,1.0853,1.0107,171.988,201.938
26.5,1.0837,1.0094,171.726,201.692
26.6,1.0816,1.0097,171.397,201.752
26.700000000000003,1.0748,1.0116,170.3,202.094
26.8,1.0759,1.0105,170.837,201.908
26.900000000000002,1.0772,1.0082,170.712,201.479
27.0,1.0752,1.0101,169.602,201.827
27.1,1.082,1.0101,171.286,201.827
27.200000000000003,1.0809,1.0078,171.225,201.413
27.3,1.0784,1.0097,170.792,201.755
27.400000000000002,1.0745,1.0119,170.333,202.151
27.500000000000004,1.0785,1.0103,170.934,201.863
27.6,1.0743,1.011,169.95,201.98
27.700000000000003,1.0686,1.0105,169.024,201.899
27.800000000000004,1.0702,1.0107,169.54,201.935
27.900000000000002,1.0689,1.0101,169.073,201.83
28.000000000000004,1.072,1.0091,169.327,201.638
28.1,1.0734,1.0109,170.064,201.971
28.199999999999996,1.064,1.011,168.884,201.989
28.299999999999997,1.0696,1.0116,169.018,202.103
28.4,1.0722,1.0102,169.46,201.842
28.499999999999996,1.068,1.01,168.937,201.803
28.599999999999998,1.0643,1.0106,168.651,201.917
28.7,1.0646,1.0101,168.082,201.818
28.799999999999997,1.0688,1.0097,168.773,201.749
28.9,1.0587,1.0086,167.522,201.551
28.999999999999996,1.0631,1.0105,168.246,201.89
29.099999999999998,1.0639,1.0116,168.206,202.1
29.2,1.0659,1.0101,169.071,201.824
29.299999999999997,1.0657,1.0104,168.675,201.881
29.4,1.062,1.0115,168.529,202.088
29.5,1.0636,1.0101,168.487,201.824
29.599999999999998,1.0555,1.0119,167.018,202.148
29.7,1.0589,1.0106,167.713,201.911
29.799999999999997,1.059,1.0091,168.722,201.638
29.9,1.0563,1.0103,167.499,201.857
30.0,1.0566,1.0098,166.973,201.767
30.099999999999998,1.0559,1.0085,167.412,201.536
30.2,1.0582,1.0101,167.417,201.818
30.3,1.0499,1.0108,166.178,201.947
30.4,1.0548,1.0108,167.355,201.944
30.5,1.0514,1.0107,166.164,201.929
30.599999999999998,1.0519,1.0091,166.37,201.641
30.7,1.0532,1.0107,166.465,201.932
30.8,1.0557,1.0101,167.361,201.818
30.9,1.0552,1.0107,167.067,201.926
31.0,1.054,1.0081,166.265,201.458
31.1,1.0498,1.0089,165.875,201.605
31.2,1.0579,1.0093,167.316,201.68
31.3,1.0501,1.0096,166.229,201.734
31.4,1.0461,1.0119,165.692,202.142
31.5,1.0493,1.0106,165.505,201.908
31.6,1.0434,1.0,163.968,200.0
31.7,1.0429,1.0,164.822,200.0
31.8,1.0436,1.0,164.91,200.0
31.900000000000002,1.0467,1.0,165.236,200.0
32.0,1.0458,1.0,165.814,200.0
32.1,1.0468,1.0,165.616,200.0
32.2,1.0483,1.0,165.51,200.0
32.300000000000004,1.0457,1.0,165.52,200.0
32.4,1.0416,1.0,164.384,200.0
32.5,1.0442,1.0,165.299,200.0
32.6,1.0377,1.0,163.836,200.0
32.7,1.0438,1.0,164.239,200.0
32.800000000000004,1.0417,1.0,164.11,200.0
32.9,1.0418,1.0,164.645,200.0
33.0,1.0439,1.0,164.818,200.0
33.1,1.042,1.0,164.779,200.0
33.2,1.0404,1.0,164.103,200.0
33.300000000000004,1.0409,1.0,165.107,200.0
33.4,1.0383,1.0,163.894,200.0
33.5,1.0427,1.0,165.774,200.0
33.6,1.043,1.0,164.481,200.0
33.7,1.0365,1.0,163.524,200.0
33.800000000000004,1.0368,1.0,163.4,200.0
33.900000000000006,1.0371,1.0,163.137,200.0
34.0,1.0376,1.0,163.545,200.0
34.1,1.0359,1.0,163.388,200.0
34.2,1.0356,1.0,163.287,200.0
34.300000000000004,1.0337,1.0,163.689,200.0
34.4,1.0339,1.0,162.84,200.0
34.5,1.0374,1.0,164.014,200.0
34.599999999999994,1.035,1.0,163.488,200.0
34.699999999999996,1.0346,1.0,163.082,200.0
34.8,1.0355,1.0,163.461,200.0
34.9,1.0358,1.0,163.228,200.0
35.0,1.0339,1.0,163.641,200.0
35.099999999999994,1.0334,1.0,163.047,200.0
35.199999999999996,1.0342,1.0,163.764,200.0
35.3,1.0331,1.0,162.903,200.0
35.4,1.035,1.0,163.357,200.0
35.5,1.0304,1.0,162.301,200.0
35.6,1.0341,1.0,163.51,200.0
35.699999999999996,1.0275,1.0,162.193,200.0
35.8,1.0273,1.0,162.084,200.0
35.9,1.0291,1.0,161.945,200.0
36.0,1.0254,1.0,161.883,200.0
36.1,1.0277,1.0,162.16,200.0
36.199999999999996,1.0258,1.0,162.256,200.0
36.3,1.0306,1.0,162.712,200.0
36.4,1.0291,1.0,162.771,200.0
36.5,1.0273,1.0,161.866,200.0
36.6,1.0258,1.0,161.479,200.0
36.7,1.0257,1.0,161.773,200.0
36.8,1.0281,1.0,162.237,200.0
36.9,1.0239,1.0,161.625,200.0
37.0,1.0265,1.0,161.638,200.0
37.1,1.0243,1.0,161.563,200.0
37.2,1.0239,1.0,161.113,200.0
37.3,1.0256,1.0,162.034,200.0
37.4,1.0257,1.0,161.381,200.0
37.5,1.028,1.0,162.369,200.0
37.6,1.0247,1.0,161.748,200.0
37.7,1.0242,1.0,161.231,200.0
37.8,1.0277,1.0,162.103,200.0
37.9,1.0231,1.0,161.425,200.0
38.0,1.0243,1.0,161.572,200.0
38.1,1.0236,1.0,161.078,200.0
38.2,1.0214,1.0,160.707,200.0
38.3,1.0195,1.0,160.661,200.0
38.4,1.0198,1.0,161.169,200.0
38.5,1.0179,1.0,160.982,200.0
38.6,1.0191,1.0,160.57,200.0
38.7,1.0203,1.0,160.681,200.0
38.800000000000004,1.0209,1.0,160.575,200.0
38.9,1.0185,1.0,160.419,200.0
39.0,1.018,1.0,160.281,200.0
39.1,1.0198,1.0,161.076,200.0
39.2,1.0191,1.0,160.344,200.0
39.300000000000004,1.0199,1.0,161.127,200.0
39.4,1.019,1.0,159.848,200.0
39.5,1.0207,1.0,161.509,200.0
39.6,1.0206,1.0,161.121,200.0
39.7,1.0204,1.0,160.496,200.0
39.800000000000004,1.0214,1.0,160.73,200.0
39.900000000000006,1.0191,1.0,160.764,200.0
40.0,1.0202,1.0,160.566,200.0
40.1,1.0215,1.0,161.594,200.0
40.2,1.0204,1.0,160.976,200.0
40.300000000000004,1.0192,1.0,160.615,200.0
40.400000000000006,1.0189,1.0,160.952,200.0
40.5,1.0205,1.0,160.544,200.0
40.6,1.0184,1.0,160.2,200.0
40.699999999999996,1.0184,1.0,160.36,200.0
40.8,1.0142,1.0,160.223,200.0
40.9,1.0185,1.0,160.196,200.0
41.0,1.0151,1.0,159.587,200.0
41.099999999999994,1.015,1.0,160.053,200.0
41.199999999999996,1.0139,1.0,160.105,200.0
41.3,1.0152,1.0,160.054,200.0
41.4,1.0159,1.0,160.506,200.0
41.5,1.0153,1.0,160.302,200.0
41.6,1.0163,1.0,160.715,200.0
41.699999999999996,1.0149,1.0,159.948,200.0
41.8,1.0145,1.0,160.056,200.0
41.9,1.0159,1.0,160.353,200.0
42.0,1.0148,1.0,159.908,200.0
42.1,1.0159,1.0,160.546,200.0
42.199999999999996,1.0162,1.0,160.171,200.0
42.3,1.0165,1.0,160.286,200.0
42.4,1.0135,1.0,160.126,200.0
42.5,1.0141,1.0,159.645,200.0
42.6,1.0153,1.0,159.544,200.0
42.699999999999996,1.0143,1.0,159.519,200.0
42.8,1.0145,1.0,159.406,200.0
42.9,1.0134,1.0,160.28,200.0
43.0,1.0135,1.0,159.498,200.0
43.1,1.0127,1.0,159.481,200.0
43.2,1.0115,1.0,160.152,200.0
43.3,1.0111,1.0,159.1,200.0
43.4,1.0119,1.0,159.131,200.0
43.5,1.0149,1.0,159.996,200.0
43.6,1.0132,1.0,159.237,200.0
43.7,1.0118,1.0,159.848,200.0
43.8,1.0111,1.0,159.35,200.0
43.9,1.0146,1.0,160.2,200.0
44.0,1.0112,1.0,159.586,200.0
44.1,1.0114,1.0,159.125,200.0
44.2,1.0132,1.0,159.289,200.0
44.3,1.0147,1.0,159.77,200.0
44.4,1.0128,1.0,160.035,200.0
44.5,1.012,1.0,159.346,200.0
44.6,1.0112,1.0,159.189,200.0
44.7,1.0117,1.0,159.58,200.0
44.800000000000004,1.0124,1.0,159.497,200.0
44.9,1.0128,1.0,159.74,200.0
45.0,1.0107,1.0,159.901,200.0
45.1,1.0131,1.0,159.61,200.0
45.2,1.0103,1.0,159.34,200.0
45.300000000000004,1.011,1.0,159.431,200.0
45.4,1.01,1.0,159.033,200.0
45.5,1.0094,1.0,159.338,200.0
45.6,1.0086,1.0,159.405,200.0
45.7,1.0085,1.0,158.835,200.0
45.800000000000004,1.0102,1.0,159.522,200.0
45.9,1.0093,1.0,158.753,200.0
46.0,1.0085,1.0,159.164,200.0
46.1,1.0081,1.0,158.378,200.0
46.2,1.0066,1.0,158.718,200.0
46.300000000000004,1.0087,1.0,158.83,200.0
46.400000000000006,1.0077,1.0,158.33,200.0
46.5,1.0065,1.0,158.96,200.0
46.6,1.0071,1.0,159.11,200.0
46.7,1.0065,1.0,159.095,200.0
46.800000000000004,1.007,1.0,158.678,200.0
46.9,1.0073,1.0,158.886,200.0
47.0,1.008,1.0,158.488,200.0
47.099999999999994,1.0078,1.0,158.516,200.0
47.199999999999996,1.0067,1.0,158.635,200.0
47.3,1.0067,1.0,157.826,200.0
47.4,1.0075,1.0,158.624,200.0
47.5,1.0064,1.0,158.923,200.0
47.599999999999994,1.0076,1.0,158.849,200.0
47.699999999999996,1.0063,1.0,158.582,200.0
47.8,1.0072,1.0,158.925,200.0
47.9,1.0086,1.0,159.115,200.0
48.0,1.0074,1.0,159.207,200.0
48.1,1.0068,1.0,158.958,200.0
48.199999999999996,1.0066,1.0,158.335,200.0
48.3,1.007,1.0,158.767,200.0
48.4,1.0077,1.0,158.627,200.0
48.5,1.0079,1.0,158.875,200.0
48.6,1.0062,1.0,158.321,200.0
48.699999999999996,1.009,1.0,158.84,200.0
48.8,1.0072,1.0,159.065,200.0
48.9,1.007,1.0,158.877,200.0
49.0,1.0082,1.0,159.617,200.0
49.1,1.0068,1.0,158.942,200.0
49.2,1.0068,1.0,158.671,200.0
49.3,1.0072,1.0,159.184,200.0
49.4,1.0077,1.0,158.921,200.0
49.5,1.0071,1.0,158.646,200.0
49.6,1.0075,1.0,158.969,200.0
49.7,1.0062,1.0,159.078,200.0
49.8,1.0088,1.0,158.035,200.0
49.9,1.0081,1.0,158.941,200.0
50.0,1.007,1.0,158.56,200.0
50.1,1.0077,1.0,159.415,200.0
50.2,1.0066,1.0,158.85,200.0
50.3,1.0065,1.0,158.674,200.0
50.4,1.0058,1.0,159.003,200.0
50.5,1.0048,1.0,157.761,200.0
50.6,1.0055,1.0,159.121,200.0
50.7,1.0054,1.0,158.329,200.0
50.8,1.005,1.0,158.484,200.0
50.9,1.0046,1.0,158.195,200.0
51.0,1.0047,1.0,158.536,200.0
51.1,1.0058,1.0,158.371,200.0
51.2,1.0052,1.0,158.262,200.0
51.300000000000004,1.0051,1.0,158.359,200.0
51.4,1.0055,1.0,158.086,200.0
51.5,1.0055,1.0,158.346,200.0
51.6,1.0052,1.0,158.559,200.0
51.7,1.0051,1.0,158.272,200.0
51.800000000000004,1.0049,1.0,158.645,200.0
51.9,1.006,1.0,158.367,200.0
52.0,1.0049,1.0,157.888,200.0
52.1,1.005,1.0,158.85,200.0
52.2,1.0051,1.0,158.396,200.0
52.300000000000004,1.0045,1.0,158.722,200.0
52.400000000000006,1.0053,1.0,158.668,200.0
52.5,1.0058,1.0,158.214,200.0
52.6,1.0054,1.0,158.159,200.0
52.7,1.0037,1.0,157.728,200.0
52.800000000000004,1.0049,1.0,158.444,200.0
52.900000000000006,1.0043,1.0,158.51,200.0
53.0,1.0064,1.0,159.346,200.0
53.1,1.0019,1.0,158.199,200.0
53.2,1.0022,1.0,158.488,200.0
53.300000000000004,1.0025,1.0,158.118,200.0
53.400000000000006,1.0036,1.0,157.856,200.0
53.5,1.0023,1.0,158.211,200.0
53.6,1.002,1.0,157.581,200.0
53.7,1.0031,1.0,157.77,200.0
53.800000000000004,1.003,1.0,157.803,200.0
53.900000000000006,1.0034,1.0,157.979,200.0
54.0,1.0028,1.0,157.644,200.0
54.1,1.0031,1.0,158.386,200.0
54.2,1.0024,1.0,157.713,200.0
54.300000000000004,1.0022,1.0,157.672,200.0
54.400000000000006,1.0023,1.0,158.334,200.0
54.50000000000001,1.0028,1.0,158.068,200.0
54.6,1.002,1.0,157.46,200.0
54.7,1.0028,1.0,157.645,200.0
54.800000000000004,1.0025,1.0,157.864,200.0
54.900000000000006,1.0025,1.0,158.303,200.0
55.00000000000001,1.0025,1.0,157.942,200.0
55.1,1.0017,1.0,157.966,200.0
55.2,1.0029,1.0,158.004,200.0
55.300000000000004,1.0028,1.0,157.723,200.0
55.400000000000006,1.003,1.0,157.96,200.0
55.50000000000001,1.0023,1.0,157.974,200.0
55.60000000000001,1.0027,1.0,157.58,200.0
55.7,1.0031,1.0,157.833,200.0
55.800000000000004,1.0016,1.0,157.545,200.0
55.900000000000006,1.0026,1.0,157.824,200.0
56.00000000000001,1.0031,1.0,158.336,200.0
56.10000000000001,1.0028,1.0,157.818,200.0
56.2,1.0027,1.0,157.418,200.0
56.3,1.0026,1.0,157.939,200.0
56.39999999999999,1.0029,1.0,157.899,200.0
56.49999999999999,1.0025,1.0,157.979,200.0
56.599999999999994,1.0027,1.0,157.574,200.0
56.699999999999996,1.0023,1.0,157.701,200.0
56.8,1.0026,1.0,158.179,200.0
56.89999999999999,1.0029,1.0,157.873,200.0
56.99999999999999,1.0027,1.0,158.039,200.0
57.099999999999994,1.0015,1.0,157.604,200.0
57.199999999999996,1.0021,1.0,157.819,200.0
57.3,1.0027,1.0,157.728,200.0
57.4,1.0028,1.0,158.138,200.0
57.49999999999999,1.0025,1.0,157.671,200.0
57.599999999999994,1.0026,1.0,157.53,200.0
57.699999999999996,1.0019,1.0,158.211,200.0
57.8,1.0028,1.0,158.393,200.0
57.9,1.0019,1.0,157.986,200.0
57.99999999999999,1.0027,1.0,158.368,200.0
58.099999999999994,1.0025,1.0,157.385,200.0
58.199999999999996,1.0032,1.0,157.725,200.0
58.3,1.0026,1.0,157.571,200.0
58.4,1.0033,1.0,158.062,200.0
58.5,1.0016,1.0,157.386,200.0
58.599999999999994,1.0023,1.0,158.267,200.0
58.699999999999996,1.0,1.0,157.935,200.0
58.8,1.0,1.0,157.479,200.0
58.9,1.0,1.0,157.524,200.0
59.0,1.0,1.0,158.134,200.0
59.099999999999994,1.0,1.0,158.061,200.0
59.199999999999996,1.0,1.0,157.388,200.0
59.3,1.0,1.0,157.463,200.0
59.4,1.0,1.0,157.563,200.0
59.5,1.0,1.0,156.653,200.0
59.599999999999994,1.0,1.0,156.95,200.0
59.699999999999996,1.0,1.0,157.802,200.0
59.8,1.0,1.0,157.23,200.0
59.9,1.0,1.0,157.48,200.0
60.0,1.0,1.0,157.364,200.0
60.099999999999994,1.0,1.0,157.206,200.0
60.199999999999996,1.0,1.0,157.323,200.0
60.3,1.0,1.0,157.846,200.0
60.4,1.0,1.0,157.348,200.0
60.5,1.0,1.0,158.119,200.0
60.6,1.0,1.0,157.475,200.0
60.699999999999996,1.0,1.0,157.861,200.0
60.8,1.0,1.0,157.712,200.0
60.9,1.0,1.0,157.112,200.0
61.0,1.0,1.0,157.522,200.0
61.1,1.0,1.0,157.375,200.0
61.199999999999996,1.0,1.0,157.365,200.0
61.3,1.0,1.0,157.323,200.0
61.4,1.0,1.0,157.611,200.0
61.5,1.0,1.0,157.205,200.0
61.6,1.0,1.0,157.877,200.0
61.7,1.0,1.0,157.911,200.0
61.8,1.0,1.0,157.854,200.0
